region,export_q1,export_q2,export_q3,export_q4,import_q1,import_q2,import_q3,import_q4
Austria,47536,46113,44048,46325,49061,48676,46851,48248
Belgium,109583,108351,102088,104037,108107,108626,103548,105676
Cyprus,3102,2870,3090,4487,950,1103,1121,1009
Estonia,5149,5511,5195,5339,3795,4124,3864,3950
Finland,19848,19816,19010,19377,20155,20377,20059,20065
France,177375,178660,162798,171289,152097,155061,143314,156664
Germany,321821,319904,309066,312874,389013,389944,367612,372992
Greece,16541,17192,15774,16368,8581,9315,8663,8929
Ireland,23011,22720,23014,21967,49632,49322,50014,51917
Italy,132467,134117,123614,130087,138329,143652,134124,138429
Latvia,5743,5911,6453,5770,3755,4168,3935,4029
Lithuania,8590,8713,8476,8825,7526,7755,7548,7664
Luxembourg,7237,7116,6641,6850,5376,5524,5120,4961
Malta,4984,5700,4384,4185,1292,1244,1283,1239
Netherlands,165676,165353,162459,172398,162857,158307,155077,162963
Portugal,22344,22849,20995,21776,16626,17370,16374,16049
Slovakia,21659,22095,21253,22224,22375,23362,23281,24929
Slovenia,10817,10889,10447,10593,9527,9723,9257,9657
Spain,96042,97279,90347,93944,82928,85879,75111,80145
Australia,52557,55247,54514,55753,66745,67193,71191,67043
Canada,110606,119557,114536,113320,109271,116145,115527,111696
Hong Kong SAR China,157096,164329,177196,171610,18826,22058,22097,22398
Macau SAR China,3099,3274,3339,3551,790,711,728,877
Czechia,43573,44116,42937,44869,49936,48933,45126,50447
Denmark,26880,28310,25105,26189,26393,27412,26412,27156
Iceland,1714,2003,1711,1549,1471,1464,1408,1724
Israel,19262,19453,17560,18489,17168,17197,15875,15832
Japan,166344,165273,175701,178179,187680,195785,194359,194888
South Korea,123894,131179,129383,131279,153367,163538,168770,160084
New Zealand,9064,9806,10705,10383,10475,10913,10316,9530
Norway,21064,21930,19786,21401,31746,29220,31381,32563
San Marino,95,78,75,69,36,45,37,40
Singapore,80181,85570,84363,90506,65488,72423,72853,63386
Sweden,41749,41340,37541,40899,43157,44213,39428,43188
Switzerland,70085,71560,69990,65165,84296,83844,79955,81158
Taiwan,59347,63492,66858,67990,109233,117010,123135,118172
United Kingdom,174800,172277,167730,173683,116703,119738,121604,117884
United States,577078,614086,634192,640879,393642,417663,409944,411558
Vatican City,13,15,23,11,1,2,1,1
American Samoa,40,40,45,57,23,29,7,7
Bangladesh,13801,14837,14215,15804,10187,9643,10490,9338
Bhutan,185,211,204,174,78,87,114,73
Brunei,865,1241,1253,1209,1524,1521,1481,1825
Cambodia,5715,7177,7899,6876,4666,3965,5457,4657
China,438730,471842,476229,487006,618443,626875,686349,700126
Fiji,571,585,656,678,158,174,168,214
French Polynesia,385,397,405,583,51,58,59,49
Guam,245,207,258,253,42,50,43,50
India,116337,122435,127201,124959,78924,80513,81361,78530
Indonesia,43386,44922,47387,46538,52453,51091,53514,52260
Kiribati,25,26,26,25,49,27,37,38
Laos,1744,1726,1505,1939,1542,1464,1398,1664
Malaysia,52056,54074,54110,57506,79363,84339,83312,83767
Maldives,615,588,608,591,141,111,138,191
Marshall Islands,4297,2862,2810,2924,90,123,286,159
Mongolia,972,1459,1320,1450,1329,2113,1945,1946
Myanmar (Burma),6693,7257,6897,7662,3740,3533,3913,4075
Nauru,12,49,15,17,7,8,11,12
Nepal,2418,2514,2587,2618,327,291,303,345
New Caledonia,606,603,636,601,470,555,525,503
Palau,26,38,27,38,7,9,7,6
Papua New Guinea,1073,1230,1244,1245,2467,2408,3217,3124
Philippines,30941,34707,35355,35242,23142,23666,25115,24171
Samoa,94,90,108,112,10,12,12,14
Solomon Islands,108,146,123,138,248,242,222,197
Sri Lanka,5695,5183,5291,5268,2845,3034,2923,2878
Thailand,55561,57088,59354,57600,65984,68171,69594,67671
Timor-Leste,48,60,88,118,33,29,9,10
Tonga,39,50,55,69,3,2,3,5
Tuvalu,16,30,20,21,10,1,1,1
Vanuatu,75,88,82,80,58,82,47,79
Vietnam,58886,63940,66198,72024,68487,65940,77521,75246
Albania,1247,1535,1440,1463,689,759,688,758
